Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName
Adriaan Dirkzwager,M,SBD,Raw,19.5,20-23,19-23,Open,72.6,74,155.0,162.5,170.0,,170.0,100.0,110.0,-117.5,,110.0,220.0,235.0,-257.5,,235.0,515.0,2,377.39,375.57,363.39,76.36,Yes,Netherlands,,KNKF-SP,IPF,2019-10-05,Netherlands,ZH,Delft,Dutch Student Championships
Lévi Rijnen,M,SBD,Raw,20.5,20-23,19-23,Juniors,88.1,93,210.0,222.5,230.0,,230.0,115.0,122.5,127.5,,127.5,200.0,212.5,220.0,,220.0,577.5,2,377.51,372.78,357.61,77.59,Yes,Netherlands,,KNKF-SP,IPF,2018-06-24,Netherlands,,Utrecht,Dutch Juniors & Sub-Juniors Championships
Lana Hooiveld,F,SBD,Raw,16.5,16-17,14-18,Open,62.7,63,115.0,-120.0,-120.0,,115.0,75.0,-80.0,80.0,,80.0,145.0,150.0,155.0,,155.0,350.0,7,377.53,377.25,333.14,76.81,Yes,Netherlands,,KNKF-SP,IPF,2019-09-28,Netherlands,GE,Nijmegen,SBD Cup
Vrony Peters,F,SBD,Raw,31.5,24-34,24-39,Open,107.9,84+,175.0,185.0,-190.0,,185.0,72.5,75.0,77.5,,77.5,175.0,185.0,192.5,,192.5,455.0,4,377.54,371.5,316.45,79.64,Yes,Netherlands,,KNKF-SP,IPF,2022-03-26,Netherlands,,Tilburg,Open NK Powerliften Classic
Jack van Vlerken,M,SBD,Raw,21.5,20-23,19-23,Open,92.65,93,212.5,-222.5,222.5,,222.5,-117.5,117.5,125.0,,125.0,232.5,245.0,-255.0,,245.0,592.5,17,377.66,372.87,356.93,77.65,Yes,Netherlands,,KNKF-SP,IPF,2022-10-15,Netherlands,,Delft,NSK Powerliften Classic
Stanley Van Essen,M,SBD,Raw,24.5,24-34,24-39,Open,90.24,93,200.0,212.5,217.5,,217.5,-127.5,135.0,-137.5,,135.0,220.0,-232.5,232.5,,232.5,585.0,3,377.76,372.96,357.4,77.67,Yes,Netherlands,,KNKF-SP,IPF,2020-09-20,Netherlands,,Weert,Loods 37 Cup Powerlifting Classic
Luuk Eijkelberg,M,SBD,Raw,17.5,18-19,14-18,Sub-Juniors,102.42,105,202.5,212.5,220.0,,220.0,117.5,125.0,130.0,,130.0,245.0,258.0,270.0,,270.0,620.0,3,377.76,373.85,356.97,77.44,Yes,Netherlands,,KNKF-SP,IPF,2022-04-17,Netherlands,,Weert,Subjunioren & Masters NK Powerliften Classic
Florence Peeters,F,SBD,Raw,25.5,24-34,24-39,Open,62.62,63,122.5,127.5,130.0,,130.0,72.5,-75.0,-75.0,,72.5,130.0,137.5,147.5,,147.5,350.0,3,377.82,377.61,333.46,76.87,Yes,Netherlands,,KNKF-SP,IPF,2022-10-29,Netherlands,,Nijmegen,SBD Cup
Larissa José Vermaning,F,SBD,Raw,28.5,24-34,24-39,Open,56.38,57,97.5,105.0,107.5,,107.5,75.0,80.0,-82.5,,80.0,125.0,135.0,140.0,,140.0,327.5,7,377.92,383.3,339.0,77.46,Yes,Netherlands,,KNKF-SP,IPF,2022-03-26,Netherlands,,Tilburg,Open NK Powerliften Classic
Bibi Stellema,F,SBD,Raw,21.5,20-23,19-23,Juniors,67.16,69,127.5,-132.5,-132.5,,127.5,77.5,-80.0,-80.0,,77.5,140.0,150.0,160.0,,160.0,365.0,5,377.93,373.88,329.84,76.79,Yes,Netherlands,,KNKF-SP,IPF,2022-04-16,Netherlands,,Weert,Junioren NK Powerliften Dames
