Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName
Hester Schaap,F,SBD,Raw,27.5,24-34,24-39,Open,72.86,76,92.5,97.5,102.5,,102.5,52.5,55.0,-57.5,,55.0,127.5,135.0,-137.5,,135.0,292.5,5,289.34,283.26,249.42,58.87,Yes,Netherlands,,KNKF-SP,IPF,2022-06-25,Netherlands,,Groningen,Northside Barbell Summer Cup
Harm Jansen,M,SBD,Raw,21.5,20-23,19-23,Open,97.54,105,142.5,147.5,152.5,,152.5,110.0,-117.5,122.5,,122.5,170.0,180.0,190.0,,190.0,465.0,9,289.38,285.91,273.22,59.45,Yes,Netherlands,,KNKF-SP,IPF,2021-10-09,Netherlands,,Tillburg,NSK Powerliften Classic
Colin Vernooij,M,SBD,Raw,16.5,16-17,14-18,Sub-Juniors,89.98,93,145.0,152.5,155.0,,155.0,97.5,105.0,107.5,,107.5,170.0,185.0,-200.0,,185.0,447.5,3,289.39,285.71,273.83,59.5,Yes,Netherlands,,KNKF-SP,IPF,2020-02-23,Netherlands,NH,Oudkarspel,Dutch Sub-Juniors Classic Powerlifting Championships
Nathan Smithers,M,SBD,Raw,22.5,20-23,19-23,Open,80.92,83,135.0,140.0,145.0,,145.0,-95.0,95.0,102.5,,102.5,170.0,175.0,-180.0,,175.0,422.5,31,289.39,286.39,275.8,59.24,Yes,Netherlands,,KNKF-SP,IPF,2022-10-15,Netherlands,,Delft,NSK Powerliften Classic
Stijn Reimert,M,SBD,Raw,16.5,16-17,14-18,Open,90.8,93,-147.5,-157.5,165.0,,165.0,92.5,97.5,100.0,,100.0,185.0,-200.0,-210.0,,185.0,450.0,63,289.68,286.0,274.0,59.56,Yes,Netherlands,,KNKF-SP,IPF,2022-10-29,Netherlands,,Nijmegen,SBD Cup
Ben Epe,M,SBD,Raw,47.5,45-49,40-49,Masters 1,72.9,74,-132.5,132.5,-142.5,,132.5,90.0,-95.0,-100.0,,90.0,160.0,175.0,-190.0,,175.0,397.5,1,290.49,289.01,279.6,58.81,Yes,Netherlands,,KNKF-SP,IPF,2015-09-06,Netherlands,GE,Nijmegen,SBD Cup
Mark Welten,M,SBD,Raw,30.5,24-34,24-39,Open,81.1,83,-150.0,155.0,160.0,,160.0,85.0,-87.5,-87.5,,85.0,180.0,-190.0,-190.0,,180.0,425.0,11,290.73,287.69,277.03,59.53,Yes,Netherlands,,KNKF-SP,IPF,2021-12-18,Netherlands,,Wezep,PWG Cup Powerliften Classic
Rilana Pal,F,SBD,Raw,21.5,20-23,19-23,Juniors,56.55,57,90.0,-95.0,95.0,,95.0,45.0,-47.5,-47.5,,45.0,100.0,107.5,112.5,,112.5,252.5,4,290.8,294.83,260.73,59.58,Yes,Netherlands,,KNKF-SP,IPF,2019-06-22,Netherlands,UT,Utrecht,Dutch Juniors & Sub-Juniors Championships
Steffen van Dalen,M,SBD,Raw,25.0,24-34,24-39,Open,106.4,110,135.0,142.5,150.0,,150.0,130.0,135.0,-137.5,,135.0,170.0,182.5,200.0,,200.0,485.0,5,290.96,288.49,275.52,59.51,,Netherlands,,PAGermany,WPF,2015-05-01,Germany,,Coburg,Deutsche Meisterschaften im KDK Bankdrücken und Kreuzheben
Daan van Heumen,M,SBD,Raw,18.5,18-19,19-23,Open,90.0,93,140.0,150.0,-160.0,,150.0,107.5,110.0,-115.0,,110.0,170.0,-177.5,190.0,,190.0,450.0,41,290.97,287.28,275.33,59.82,Yes,Netherlands,,KNKF-SP,IPF,2021-10-30,Netherlands,,Nijmegen,SBD Cup Powerliften Classic
Elisa Hessels,F,SBD,Raw,26.5,24-34,24-39,Open,80.5,84,110.0,-115.0,-115.0,,110.0,55.0,57.5,-60.0,,57.5,130.0,135.0,142.5,,142.5,310.0,6,291.2,282.68,247.81,59.57,Yes,Netherlands,,KNKF-SP,IPF,2017-06-10,Netherlands,NB,Tilburg,DRC Cup
Tamara Jetten,F,SBD,Raw,24.5,24-34,24-39,Open,77.91,84,95.0,102.5,107.5,,107.5,55.0,57.5,-60.0,,57.5,125.0,135.0,140.0,,140.0,305.0,9,291.25,283.33,248.82,59.45,Yes,Netherlands,,IPF,IPF,2018-07-09,Czechia,,Pilsen,3rd World University Powerlifting Cup
Eline Blok,F,SBD,Raw,21.5,20-23,19-23,Open,74.22,76,95.0,100.0,-105.0,,100.0,70.0,-72.5,-72.5,,70.0,120.0,127.5,-152.5,,127.5,297.5,4,291.37,284.69,250.52,59.33,Yes,Netherlands,,KNKF-SP,IPF,2022-06-25,Netherlands,,Groningen,Northside Barbell Summer Cup
Hanneke Chorus,F,SBD,Raw,38.5,35-39,24-39,Open,68.6,69,110.0,117.5,-122.5,,117.5,47.5,52.5,-55.0,,52.5,115.0,-120.0,-120.0,,115.0,285.0,34,291.52,287.55,253.58,59.24,Yes,Netherlands,,KNKF-SP,IPF,2022-10-29,Netherlands,,Nijmegen,SBD Cup
Dewi van der Geugten,F,SBD,Raw,20.5,20-23,19-23,Open,49.2,52,-75.0,75.0,77.5,,77.5,40.0,45.0,50.0,,50.0,90.0,97.5,102.5,,102.5,230.0,1,291.54,299.08,265.8,61.02,Yes,Netherlands,,KNKF-SP,IPF,2015-06-13,Netherlands,NB,Tilburg,DRC Cup
Nout Hakkesteegt,M,SBD,Raw,21.5,20-23,19-23,Open,89.58,93,152.5,160.0,165.0,,165.0,82.5,87.5,90.0,,90.0,165.0,180.0,195.0,,195.0,450.0,12,291.66,287.96,276.04,59.96,Yes,Netherlands,,KNKF-SP,IPF,2020-10-10,Netherlands,NB,Tilburg,Dutch Student Championships
Rilana Pal,F,SBD,Raw,22.5,20-23,19-23,Juniors,56.25,57,90.0,92.5,-95.0,,92.5,45.0,-50.0,-50.0,,45.0,105.0,115.0,-122.5,,115.0,252.5,4,291.82,296.06,261.85,59.82,Yes,Netherlands,,KNKF-SP,IPF,2020-03-07,Netherlands,NH,Oudkarspel,Dutch Juniors Classic Powerlifting Championships
Simon van Gastel,M,SBD,Raw,18.5,18-19,19-23,Juniors,86.52,93,137.5,145.0,152.5,,152.5,80.0,85.0,90.0,,90.0,177.5,190.0,200.0,,200.0,442.5,32,292.02,288.44,276.94,59.99,Yes,Netherlands,,KNKF-SP,IPF,2022-04-23,Netherlands,,Weert,Junioren NK Powerliften Heren
Michiel van Son,M,SBD,Raw,58.5,55-59,50-59,Open,73.0,74,120.0,130.0,135.0,,135.0,60.0,75.0,80.0,,80.0,170.0,180.0,185.0,,185.0,400.0,7,292.05,290.54,281.06,59.14,Yes,Netherlands,,KNKF-SP,IPF,2017-09-30,Netherlands,GE,Nijmegen,SBD Cup
Floortje Savrij Droste,F,SBD,Raw,19.5,20-23,19-23,Open,49.08,52,60.0,65.0,-67.5,,65.0,37.5,40.0,-42.5,,40.0,-122.5,122.5,125.0,,125.0,230.0,3,292.05,299.63,266.32,61.16,Yes,Netherlands,,KNKF-SP,IPF,2022-07-16,Netherlands,,Wezep,PWG Summer Cup
Olivia Meng,F,SBD,Raw,23.5,24-34,24-39,Open,66.3,69,112.5,-122.5,-122.5,,112.5,40.0,45.0,-47.5,,45.0,115.0,122.5,-127.5,,122.5,280.0,12,292.1,289.5,255.46,59.35,Yes,Netherlands,,KNKF-SP,IPF,2022-10-15,Netherlands,,Delft,NSK Powerliften Classic
Dana Buijze,F,SBD,Raw,21.5,20-23,19-23,Open,67.3,69,110.0,-112.5,-112.5,,110.0,42.5,45.0,47.5,,47.5,115.0,120.0,125.0,,125.0,282.5,10,292.15,288.94,254.9,59.36,Yes,Netherlands,,KNKF-SP,IPF,2021-10-30,Netherlands,,Nijmegen,SBD Cup Powerliften Classic
Luuk Eijkelberg,M,SBD,Raw,16.5,16-17,14-18,Sub-Juniors,91.22,93,152.5,162.5,170.0,,170.0,92.5,100.0,105.0,,105.0,165.0,172.5,180.0,,180.0,455.0,11,292.23,288.51,276.35,60.09,Yes,Netherlands,,KNKF-SP,IPF,2021-07-17,Netherlands,,Weert,Subjunioren & Junioren NK Powerliften Classic
Tamara Jetten,F,SBD,Raw,27.5,24-34,24-39,Open,71.48,76,95.0,102.5,110.0,,110.0,55.0,57.5,60.0,,60.0,122.5,-130.0,-130.0,,122.5,292.5,8,292.37,286.88,252.75,59.45,Yes,Netherlands,,KNKF-SP,IPF,2021-12-18,Netherlands,,Wezep,PWG Cup Powerliften Classic
Sanne Verhoeven,F,SBD,Raw,24.5,24-34,24-39,Open,67.2,69,95.0,97.5,-110.0,,97.5,45.0,50.0,52.5,,52.5,110.0,125.0,132.5,,132.5,282.5,35,292.4,289.25,255.18,59.41,Yes,Netherlands,,KNKF-SP,IPF,2022-10-29,Netherlands,,Nijmegen,SBD Cup
Janna de Vos,F,SBD,Raw,22.5,20-23,19-23,Open,68.2,72,95.0,105.0,-115.0,,105.0,45.0,50.0,-55.0,,50.0,110.0,120.0,130.0,,130.0,285.0,1,292.49,288.74,254.66,59.43,Yes,Netherlands,,KNKF-SP,IPF,2017-10-14,Netherlands,NB,Tilburg,Dutch Student Powerlifting Championships
Stijn Gierkink,M,SBD,Raw,30.5,24-34,24-39,Open,102.37,105,-165.0,165.0,175.0,,175.0,95.0,100.0,-105.0,,100.0,180.0,195.0,205.0,,205.0,480.0,50,292.52,289.48,276.42,59.97,Yes,Netherlands,,KNKF-SP,IPF,2022-10-29,Netherlands,,Nijmegen,SBD Cup
Hanneke Chorus,F,SBD,Raw,35.5,35-39,24-39,Open,71.36,72,105.0,110.0,112.5,,112.5,50.0,52.5,55.0,,55.0,115.0,-125.0,125.0,,125.0,292.5,15,292.64,287.2,253.04,59.51,Yes,Netherlands,,KNKF-SP,IPF,2019-12-07,Netherlands,NB,Veldhoven,DRC Cup
Sharon van der Linden,F,SBD,Raw,22.5,20-23,19-23,Juniors,79.7,84,100.0,107.5,-115.0,,107.5,57.5,62.5,-65.0,,62.5,115.0,125.0,140.0,,140.0,310.0,5,292.65,284.25,249.33,59.82,Yes,Netherlands,,KNKF-SP,IPF,2019-02-02,Netherlands,GR,Groningen,Northside Barbell Cup
Reno Lok,M,SBD,Raw,25.5,24-34,24-39,Open,91.86,93,137.5,-147.5,150.0,,150.0,95.0,100.0,-105.0,,100.0,180.0,200.0,207.5,,207.5,457.5,10,292.83,289.11,276.84,60.21,Yes,Netherlands,,KNKF-SP,IPF,2020-02-01,Netherlands,,Groningen,Northside Barbell Cup
Floortje Radema,F,SBD,Raw,22.5,20-23,19-23,Open,68.06,69,100.0,107.5,-112.5,,107.5,55.0,57.5,-60.0,,57.5,105.0,115.0,120.0,,120.0,285.0,9,292.84,289.17,255.05,59.5,Yes,Netherlands,,KNKF-SP,IPF,2022-10-15,Netherlands,,Delft,NSK Powerliften Classic
Lloyd Bieshaar,M,SBD,Raw,26.5,24-34,24-39,Open,110.3,120,180.0,-190.0,,,180.0,110.0,-115.0,,,110.0,175.0,190.0,205.0,,205.0,495.0,9,292.87,291.06,278.2,59.75,Yes,Netherlands,,KNKF-SP,IPF,2018-09-22,Netherlands,GE,Nijmegen,SBD Cup
Nienke Oldenburger,F,SBD,Raw,23.5,24-34,24-39,Open,61.17,63,82.5,87.5,90.0,,90.0,50.0,52.5,-55.0,,52.5,112.5,120.0,125.0,,125.0,267.5,20,292.97,293.82,259.54,59.67,Yes,Netherlands,,KNKF-SP,IPF,2022-10-29,Netherlands,,Nijmegen,SBD Cup
Xiamei Klancnik,F,SBD,Raw,21.5,20-23,19-23,Juniors,63.0,63,85.0,90.0,95.0,,95.0,45.0,-50.0,50.0,,50.0,115.0,122.5,127.5,,127.5,272.5,5,293.08,292.65,258.42,59.62,Yes,Netherlands,,KNKF-SP,IPF,2020-03-07,Netherlands,NH,Oudkarspel,Dutch Juniors Classic Powerlifting Championships
Jord Marcus,M,SBD,Raw,21.5,20-23,19-23,Open,103.16,105,160.0,170.0,175.0,,175.0,100.0,-105.0,-105.0,,100.0,195.0,207.5,-215.0,,207.5,482.5,24,293.1,290.16,277.06,60.07,Yes,Netherlands,,KNKF-SP,IPF,2021-10-30,Netherlands,,Nijmegen,SBD Cup Powerliften Classic
Pauline Schwencke,F,SBD,Raw,50.5,50-54,50-59,Open,62.05,63,85.0,90.0,-95.0,,90.0,-55.0,57.5,60.0,,60.0,110.0,117.5,120.0,,120.0,270.0,19,293.1,293.34,259.07,59.66,Yes,Netherlands,,KNKF-SP,IPF,2022-10-29,Netherlands,,Nijmegen,SBD Cup
Eline Blok,F,SBD,Raw,21.5,20-23,19-23,Juniors,74.56,76,90.0,95.0,97.5,,97.5,70.0,-75.0,-75.0,,70.0,120.0,127.5,132.5,,132.5,300.0,7,293.11,286.25,251.85,59.69,Yes,Netherlands,,KNKF-SP,IPF,2022-04-16,Netherlands,,Weert,Junioren NK Powerliften Dames
Zuzanna Uba,F,SBD,Raw,19.5,20-23,19-23,Open,62.02,63,90.0,95.0,100.0,,100.0,50.0,-55.0,55.0,,55.0,105.0,115.0,-125.0,,115.0,270.0,6,293.19,293.45,259.17,59.68,Yes,Netherlands,,KNKF-SP,IPF,2021-10-09,Netherlands,,Tillburg,NSK Powerliften Classic
Thalita Mulders,F,SBD,Raw,27.5,24-34,24-39,Open,90.6,84+,120.0,130.0,-140.0,,130.0,60.0,-62.5,-62.5,,60.0,130.0,140.0,-145.0,,140.0,330.0,11,293.34,284.36,247.02,60.63,Yes,Netherlands,,KNKF-SP,IPF,2022-10-29,Netherlands,,Nijmegen,SBD Cup
Bonne Timmer,M,SBD,Raw,22.5,20-23,19-23,Open,100.42,105,-145.0,145.0,155.0,,155.0,100.0,105.0,107.5,,107.5,200.0,215.0,-225.0,,215.0,477.5,27,293.38,290.12,277.08,60.2,Yes,Netherlands,,KNKF-SP,IPF,2022-10-15,Netherlands,,Delft,NSK Powerliften Classic
Jiska Chang,F,SBD,Raw,26.5,24-34,24-39,Open,67.8,69,100.0,105.0,-110.0,,105.0,47.5,-50.0,-50.0,,47.5,122.5,132.5,-140.0,,132.5,285.0,33,293.48,289.96,255.76,59.63,Yes,Netherlands,,KNKF-SP,IPF,2022-10-29,Netherlands,,Nijmegen,SBD Cup
Max den Hartog,M,SBD,Raw,19.5,20-23,19-23,Open,87.5,93,150.0,160.0,-165.0,,160.0,95.0,100.0,-105.0,,100.0,170.0,180.0,187.5,,187.5,447.5,26,293.57,289.92,278.21,60.33,Yes,Netherlands,,KNKF-SP,IPF,2019-12-07,Netherlands,NB,Veldhoven,DRC Cup
Odyl de Greeff,F,SBD,Raw,19.5,20-23,19-23,Open,66.72,69,90.0,97.5,102.5,,102.5,60.0,62.5,65.0,,65.0,107.5,-115.0,115.0,,115.0,282.5,10,293.62,290.75,256.53,59.66,Yes,Netherlands,,KNKF-SP,IPF,2022-10-15,Netherlands,,Delft,NSK Powerliften Classic
Fleur Goedhart,F,SBD,Raw,20.5,20-23,19-23,Open,74.3,84,90.0,95.0,100.0,,100.0,62.5,67.5,70.0,,70.0,117.5,125.0,130.0,,130.0,300.0,8,293.65,286.88,252.45,59.79,Yes,Netherlands,,KNKF-SP,IPF,2018-12-08,Netherlands,NB,Veldhoven,DRC Cup
Iman te Wildt,F,SBD,Raw,24.5,24-34,24-39,Open,61.84,63,95.0,100.0,105.0,,105.0,47.5,50.0,-52.5,,50.0,105.0,110.0,115.0,,115.0,270.0,7,293.72,294.1,259.75,59.79,Yes,Netherlands,,KNKF-SP,IPF,2022-06-25,Netherlands,,Groningen,Northside Barbell Summer Cup
Koen Elderhorst,M,SBD,Raw,17.5,18-19,14-18,Sub-Juniors,98.9,105,160.0,167.5,175.0,,175.0,95.0,100.0,-102.5,,100.0,180.0,190.0,200.0,,200.0,475.0,2,293.78,290.38,277.4,60.32,Yes,Netherlands,,KNKF-SP,IPF,2019-06-22,Netherlands,UT,Utrecht,Dutch Juniors & Sub-Juniors Championships
Milan Daalhuisen,M,SBD,Raw,19.5,20-23,19-23,Juniors,72.35,74,-140.0,-140.0,140.0,,140.0,95.0,100.0,-102.5,,100.0,140.0,150.0,160.0,,160.0,400.0,11,293.79,292.44,283.0,59.42,Yes,Netherlands,,KNKF-SP,IPF,2019-06-22,Netherlands,UT,Utrecht,Dutch Juniors & Sub-Juniors Championships
Senna Duitgenius,M,SBD,Raw,17.5,18-19,14-18,Sub-Juniors,67.2,74,120.0,125.0,130.0,,130.0,70.0,75.0,-80.0,,75.0,160.0,170.0,175.0,,175.0,380.0,9,293.83,294.03,285.48,58.67,Yes,Netherlands,,KNKF-SP,IPF,2021-07-17,Netherlands,,Weert,Subjunioren & Junioren NK Powerliften Classic
Anna Hofmans,F,SBD,Raw,29.0,24-34,24-39,Open,54.0,56,82.5,85.0,90.0,,90.0,47.5,52.5,-57.5,,52.5,97.5,-105.0,105.0,,105.0,247.5,2,293.96,299.62,265.26,60.56,,Netherlands,,PAGermany,WPF,2017-04-28,Germany,,Trier,Deutsche Meisterschaften im KDK Bankdrücken und Kreuzheben
Kevin Evers,M,SBD,Raw,25.5,24-34,24-39,Open,112.14,120,160.0,170.0,180.0,,180.0,100.0,105.0,110.0,,110.0,190.0,200.0,210.0,,210.0,500.0,2,294.02,292.56,279.79,59.9,Yes,Netherlands,,KNKF-SP,IPF,2022-02-05,Netherlands,,Groningen,Northside Barbell Cup
Nikki Hofland,F,SBD,Raw,21.5,20-23,19-23,Juniors,82.86,84,105.0,112.5,117.5,,117.5,55.0,57.5,-60.0,,57.5,130.0,135.0,142.5,,142.5,317.5,5,294.06,285.1,249.48,60.28,Yes,Netherlands,,KNKF-SP,IPF,2022-04-16,Netherlands,,Weert,Junioren NK Powerliften Dames
Annemie van Lakwijk,F,SBD,Raw,21.5,20-23,19-23,Juniors,67.52,69,95.0,100.0,105.0,,105.0,45.0,47.5,50.0,,50.0,117.5,125.0,130.0,,130.0,285.0,10,294.18,290.82,256.54,59.77,Yes,Netherlands,,KNKF-SP,IPF,2022-04-16,Netherlands,,Weert,Junioren NK Powerliften Dames
Gwen Heuts,F,SBD,Raw,38.5,35-39,24-39,Open,63.5,69,90.0,97.5,100.0,,100.0,60.0,65.0,67.5,,67.5,100.0,107.5,-112.5,,107.5,275.0,36,294.35,293.58,259.21,59.86,Yes,Netherlands,,KNKF-SP,IPF,2022-10-29,Netherlands,,Nijmegen,SBD Cup
Roos Otten,F,SBD,Raw,24.5,24-34,24-39,Open,60.62,63,90.0,-97.5,-97.5,,90.0,42.5,47.5,-50.0,,47.5,117.5,125.0,130.0,,130.0,267.5,4,294.63,295.87,261.38,60.04,Yes,Netherlands,,KNKF-SP,IPF,2022-02-05,Netherlands,,Groningen,Northside Barbell Cup
Ruben Jansen,M,SBD,Raw,19.5,20-23,19-23,Open,89.6,93,145.0,155.0,160.0,,160.0,95.0,100.0,105.0,,105.0,-180.0,180.0,190.0,,190.0,455.0,21,294.87,291.13,279.07,60.62,Yes,Netherlands,,KNKF-SP,IPF,2019-09-28,Netherlands,GE,Nijmegen,SBD Cup
Harm Kuipers,M,SBD,Raw,27.0,24-34,24-39,Open,130.2,140,165.0,172.5,182.5,,182.5,115.0,120.0,125.0,,125.0,200.0,215.0,220.0,,220.0,527.5,1,295.23,298.27,284.9,59.22,,Netherlands,,PAGermany,WPF,2015-05-01,Germany,,Coburg,Deutsche Meisterschaften im KDK Bankdrücken und Kreuzheben
Mylene van der Scheer,F,SBD,Raw,18.5,18-19,19-23,Juniors,60.42,63,90.0,95.0,100.0,,100.0,55.0,60.0,-62.5,,60.0,102.5,107.5,-110.0,,107.5,267.5,4,295.24,296.63,262.06,60.18,Yes,Netherlands,,KNKF-SP,IPF,2021-07-17,Netherlands,,Weert,Subjunioren & Junioren NK Powerliften Classic
Loek van Leeuwen,M,SBD,Raw,22.5,20-23,19-23,Open,78.22,83,117.5,125.0,132.5,,132.5,107.5,112.5,117.5,,117.5,155.0,162.5,172.5,,172.5,422.5,19,295.28,292.64,282.24,60.28,Yes,Netherlands,,KNKF-SP,IPF,2021-10-09,Netherlands,,Tillburg,NSK Powerliften Classic
Tara Smit,F,SBD,Raw,19.5,20-23,19-23,Open,68.05,72,97.5,105.0,107.5,,107.5,57.5,62.5,-65.0,,62.5,117.5,-127.5,-127.5,,117.5,287.5,14,295.43,291.73,257.31,60.03,Yes,Netherlands,,KNKF-SP,IPF,2017-09-30,Netherlands,GE,Nijmegen,SBD Cup
Collin Bakker,M,SBD,Raw,19.5,20-23,19-23,Open,97.56,105,145.0,152.5,-167.5,,152.5,115.0,122.5,-130.0,,122.5,170.0,185.0,200.0,,200.0,475.0,6,295.57,292.04,279.07,60.72,Yes,Netherlands,,KNKF-SP,IPF,2020-02-01,Netherlands,,Groningen,Northside Barbell Cup
Ina Koolhaas-Revers,F,SBD,Raw,70.0,70-74,70-999,Masters 4,60.29,63,80.0,85.0,-87.5,,85.0,55.0,-57.5,-57.5,,55.0,120.0,125.0,127.5,,127.5,267.5,4,295.64,297.12,262.51,60.26,Yes,Netherlands,,KNKF-SP,IPF,2018-02-03,Netherlands,ZH,Rotterdam,Fox Powerlifting Cup
Lucy van den Bogaard,F,SBD,Raw,19.5,20-23,19-23,Juniors,55.92,57,80.0,85.0,90.0,,90.0,47.5,-50.0,-50.0,,47.5,110.0,-117.5,117.5,,117.5,255.0,4,295.86,300.37,265.7,60.69,Yes,Netherlands,,KNKF-SP,IPF,2021-07-17,Netherlands,,Weert,Subjunioren & Junioren NK Powerliften Classic
Eva Konings,F,SBD,Raw,21.5,20-23,19-23,Open,73.2,76,100.0,107.5,115.0,,115.0,45.0,-50.0,50.0,,50.0,122.5,130.0,135.0,,135.0,300.0,6,296.01,289.65,255.01,60.24,Yes,Netherlands,,KNKF-SP,IPF,2022-10-15,Netherlands,,Delft,NSK Powerliften Classic
Frank Warrink,M,SBD,Raw,16.5,16-17,14-18,Open,87.0,93,145.0,152.5,157.5,,157.5,82.5,90.0,92.5,,92.5,185.0,200.0,-210.0,,200.0,450.0,62,296.1,292.45,280.71,60.84,Yes,Netherlands,,KNKF-SP,IPF,2022-10-29,Netherlands,,Nijmegen,SBD Cup
Chen Jie Yi Wu,F,SBD,Raw,24.5,24-34,24-39,Open,48.84,52,-75.0,75.0,80.0,,80.0,42.5,45.0,-47.5,,45.0,95.0,102.5,107.5,,107.5,232.5,6,296.27,304.0,270.28,62.11,Yes,Netherlands,,IPF,IPF,2018-07-09,Czechia,,Pilsen,3rd World University Powerlifting Cup
Sytske Bekker,F,SBD,Raw,25.5,24-34,24-39,Open,64.7,72,85.0,92.5,100.0,,100.0,45.0,50.0,55.0,,55.0,110.0,117.5,125.0,,125.0,280.0,5,296.35,294.76,260.19,60.24,Yes,Netherlands,,KNKF-SP,IPF,2015-06-13,Netherlands,NB,Tilburg,DRC Cup
Arleen Meyer,F,SBD,Raw,40.5,40-44,40-49,Open,71.9,72,100.0,105.0,-107.5,,105.0,57.5,60.0,65.0,,65.0,105.0,115.0,127.5,,127.5,297.5,2,296.42,290.64,256.02,60.29,Yes,Netherlands,,KNKF-SP,IPF,2020-09-20,Netherlands,,Weert,Loods 37 Cup Powerlifting Classic
Vikram Radhakrishnan,M,SBD,Raw,31.5,24-34,24-39,Open,89.6,93,150.0,157.5,160.0,,160.0,97.5,-102.5,107.5,,107.5,175.0,182.5,190.0,,190.0,457.5,61,296.49,292.73,280.61,60.95,Yes,Netherlands,,KNKF-SP,IPF,2022-10-29,Netherlands,,Nijmegen,SBD Cup
Ellen van der Weide,F,SBD,Raw,21.5,20-23,19-23,Juniors,69.65,72,100.0,-107.5,115.0,,115.0,50.0,55.0,57.5,,57.5,110.0,-120.0,120.0,,120.0,292.5,8,296.63,292.0,257.43,60.29,Yes,Netherlands,,KNKF-SP,IPF,2020-03-07,Netherlands,NH,Oudkarspel,Dutch Juniors Classic Powerlifting Championships
Simone Verhoef,F,SBD,Raw,23.5,24-34,24-39,Open,61.72,63,90.0,95.0,-100.0,,95.0,55.0,57.5,60.0,,60.0,112.5,117.5,-125.0,,117.5,272.5,18,296.79,297.26,262.55,60.42,Yes,Netherlands,,KNKF-SP,IPF,2022-10-29,Netherlands,,Nijmegen,SBD Cup
Arja Rydin,F,SBD,Raw,20.5,20-23,19-23,Juniors,61.7,63,100.0,-105.0,-105.0,,100.0,47.5,50.0,52.5,,52.5,115.0,-120.0,120.0,,120.0,272.5,7,296.85,297.34,262.62,60.44,Yes,Netherlands,,EPF,IPF,2016-03-05,Estonia,,Tartu,European Classic Powerlifting Championships
Anne van Gils,F,SBD,Raw,18.5,18-19,19-23,Open,78.66,84,115.0,122.5,-125.0,,122.5,60.0,65.0,-70.0,,65.0,-125.0,125.0,-142.5,,125.0,312.5,3,296.96,288.69,253.4,60.65,Yes,Netherlands,,KNKF-SP,IPF,2022-06-25,Netherlands,,Groningen,Northside Barbell Summer Cup
Kira Hornbostel,F,SBD,Raw,24.5,24-34,24-39,Open,64.46,69,90.0,95.0,100.0,,100.0,60.0,62.5,65.0,,65.0,105.0,110.0,115.0,,115.0,280.0,11,297.01,295.58,260.92,60.38,Yes,Netherlands,,KNKF-SP,IPF,2022-10-15,Netherlands,,Delft,NSK Powerliften Classic
Manoe Ossel,F,SBD,Raw,30.5,24-34,24-39,Open,56.4,57,85.0,-87.5,87.5,,87.5,52.5,57.5,-60.0,,57.5,102.5,107.5,112.5,,112.5,257.5,3,297.07,301.29,266.46,60.89,Yes,Netherlands,,KNKF-SP,IPF,2019-02-02,Netherlands,GR,Groningen,Northside Barbell Cup
Yvonne Kortsmit,F,SBD,Raw,21.5,20-23,19-23,Juniors,61.6,63,95.0,-105.0,-105.0,,95.0,62.5,65.0,-67.5,,65.0,107.5,112.5,-120.0,,112.5,272.5,4,297.15,297.71,262.95,60.5,Yes,Netherlands,,KNKF-SP,IPF,2015-12-12,Netherlands,NB,Veldhoven,Dutch Classic Powerlifting Championships
Dapper Bruijn,M,SBD,Raw,20.5,20-23,19-23,Open,96.28,105,157.5,165.0,-170.0,,165.0,102.5,107.5,110.0,,110.0,187.5,200.0,-207.5,,200.0,475.0,28,297.35,293.71,280.77,61.1,Yes,Netherlands,,KNKF-SP,IPF,2022-10-15,Netherlands,,Delft,NSK Powerliften Classic
Harm Kuipers,M,SBD,Raw,27.0,24-34,24-39,Open,131.2,140,160.0,170.0,185.0,190.0,185.0,117.5,-122.5,122.5,,122.5,210.0,220.0,225.0,-235.0,225.0,532.5,1,297.35,300.69,287.08,59.6,,Netherlands,,WPF,,2015-06-19,Netherlands,,Kampen,European Championships
Kelly Senden,F,SBD,Raw,22.5,20-23,19-23,Open,61.5,63,92.5,97.5,-102.5,,97.5,55.0,57.5,-60.0,,57.5,107.5,112.5,117.5,,117.5,272.5,7,297.45,298.08,263.29,60.57,Yes,Netherlands,,KNKF-SP,IPF,2021-10-30,Netherlands,,Nijmegen,SBD Cup Powerliften Classic
Anell Roos,F,SBD,Raw,31.5,24-34,24-39,Open,71.42,76,107.5,115.0,120.0,,120.0,47.5,52.5,-55.0,,52.5,110.0,117.5,125.0,,125.0,297.5,17,297.51,291.95,257.22,60.5,Yes,Netherlands,,KNKF-SP,IPF,2022-10-29,Netherlands,,Nijmegen,SBD Cup
