Country,count,squat_mean,bench_mean,deadlift_mean,squat_max,bench_max,deadlift_max,iso3
Spain,718,192.0753138075314,117.7747559274756,220.13826815642457,380.0,235.0,360.0,ESP
Argentina,712,174.17837078651687,108.45435393258427,202.14466292134833,335.0,230.0,360.0,ARG
Croatia,694,163.70749279538904,109.69884726224784,194.61599423631125,300.0,200.0,320.5,HRV
Estonia,647,180.61194744976814,122.28846986089644,211.68425038639876,355.0,257.5,355.0,EST
Switzerland,625,173.9624,116.2024,204.568,370.0,233.5,340.0,CHE
Brazil,616,182.6879707792208,116.39293831168831,208.04832792207793,366.0,220.0,360.0,BRA
India,509,149.28933202357564,92.21932938856015,172.72952848722986,322.5,220.0,360.0,IND
China,446,194.82396860986546,119.74737668161436,212.48071748878922,345.0,260.0,351.0,CHN
Iceland,429,187.0734265734266,120.01515151515152,209.25174825174824,330.0,210.0,440.0,ISL
Nauru,382,221.58376963350784,136.0366492146597,215.13089005235602,470.0,272.0,332.5,NRU
Austria,369,197.420054200542,130.78455284552845,228.08536585365854,310.0,227.5,340.0,AUT
Serbia,293,162.20477815699658,108.57508532423208,193.3527397260274,330.0,242.5,355.0,SRB
Ecuador,281,178.3714642857143,111.70654804270463,192.78971428571427,366.5,220.5,315.0,ECU
Hungary,279,195.50358422939067,130.09139784946237,220.62724014336916,325.0,230.0,362.5,HUN
Mexico,274,171.37408759124088,109.2682116788321,196.30087591240877,305.0,230.0,340.0,MEX
Greece,259,209.12741312741312,135.83783783783784,232.2972972972973,350.0,220.0,360.0,GRC
Israel,249,159.16265060240963,106.30722891566265,192.929718875502,285.0,200.0,330.0,ISR
Hong Kong,241,154.53526970954357,100.45850622406638,182.16597510373444,260.0,185.0,302.5,HKG
Singapore,201,177.61940298507463,109.19900497512438,204.3582089552239,272.5,187.5,320.0,SGP
Slovenia,197,199.2969543147208,123.89340101522842,225.253807106599,300.5,210.0,330.0,SVN
Latvia,189,195.97354497354496,131.33068783068782,220.489417989418,400.0,240.0,420.0,LVA
Moldova,187,175.69786096256684,122.52941176470588,204.6898395721925,322.5,215.0,320.0,MDA
Mongolia,185,187.77027027027026,129.8108108108108,203.4972972972973,320.0,220.0,307.5,MNG
Portugal,185,181.7108108108108,120.34054054054054,214.73243243243243,300.0,205.0,350.0,PRT
Peru,174,161.22254335260115,102.89595375722543,186.40462427745663,285.0,202.5,305.0,PER
Slovakia,160,201.2375,130.390625,226.35,345.0,225.0,357.5,SVK
Turkey,157,197.34713375796179,130.72611464968153,230.96496815286625,370.0,242.5,400.0,TUR
Uruguay,151,176.69205298013244,112.69536423841059,196.45364238410596,270.0,195.5,280.0,URY
Guatemala,144,130.72395833333334,83.67347222222222,150.17361111111114,265.35,197.31,265.35,GTM
Philippines,144,131.96180555555554,79.10763888888889,157.42708333333334,332.5,192.5,302.5,PHL
Iran,144,227.45104895104896,148.125,245.94755244755245,425.0,225.0,345.0,IRN
Algeria,132,242.6969696969697,143.08333333333334,256.7121212121212,390.0,291.5,365.0,DZA
Azerbaijan,130,196.62692307692308,135.30384615384617,222.44615384615383,355.0,252.5,365.0,AZE
Puerto Rico,117,150.17042735042736,94.53068376068376,173.8725641025641,275.0,197.5,302.5,PRI
Colombia,113,171.7787610619469,103.92035398230088,195.75892857142858,295.0,222.5,320.0,COL
US Virgin Islands,110,175.70909090909092,112.26363636363637,209.69545454545454,427.5,252.5,365.0,VIR
Malaysia,105,187.68571428571428,109.70476190476191,219.76666666666668,305.0,182.5,323.5,MYS
Costa Rica,90,174.05555555555554,107.38888888888889,189.36666666666667,300.0,185.0,320.0,CRI
